item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T6_METALBAR,Martlock,1,2431,2023-01-08T22:45:00,2467,2023-01-08T22:45:00,120,2023-01-08T22:45:00,2102,2023-01-08T22:45:00
T6_METALBAR,Thetford,1,2413,2023-01-08T22:10:00,2498,2023-01-08T22:10:00,10,2023-01-08T22:10:00,2290,2023-01-08T22:10:00
T6_METALBAR_LEVEL1@1,Bridgewatch,1,5886,2023-01-08T12:35:00,5983,2023-01-08T12:35:00,140,2023-01-08T03:30:00,5610,2023-01-08T03:30:00
T6_METALBAR_LEVEL1@1,Fort Sterling,1,5798,2023-01-08T22:45:00,5798,2023-01-08T22:45:00,3000,2023-01-08T22:40:00,5352,2023-01-08T22:40:00
T6_METALBAR_LEVEL1@1,Lymhurst,1,6144,2023-01-08T18:20:00,9945,2023-01-08T18:20:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL1@1,Martlock,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL1@1,Thetford,1,5689,2023-01-08T20:30:00,5998,2023-01-08T20:30:00,142,2023-01-08T20:30:00,5335,2023-01-08T20:30:00
T6_METALBAR_LEVEL2@2,Bridgewatch,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL2@2,Fort Sterling,1,21491,2023-01-08T17:50:00,25000,2023-01-08T17:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL2@2,Lymhurst,1,21096,2023-01-08T18:20:00,25000,2023-01-08T18:20:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL2@2,Martlock,1,21490,2023-01-08T09:10:00,22000,2023-01-08T09:10:00,333,2023-01-08T09:10:00,19070,2023-01-08T09:10:00
T6_METALBAR_LEVEL2@2,Thetford,1,19987,2023-01-08T19:10:00,21000,2023-01-08T19:10:00,10,2023-01-08T12:35:00,18403,2023-01-08T12:35:00
T6_METALBAR_LEVEL3@3,Bridgewatch,1,51597,2023-01-08T12:45:00,51597,2023-01-08T12:45:00,189,2023-01-08T12:35:00,49001,2023-01-08T12:35:00
T6_METALBAR_LEVEL3@3,Fort Sterling,1,50395,2023-01-08T17:50:00,53400,2023-01-08T17:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL3@3,Lymhurst,1,50678,2023-01-08T18:20:00,51990,2023-01-08T18:20:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL3@3,Martlock,1,50296,2023-01-08T07:35:00,60000,2023-01-08T07:35:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
